Data,Total de Notificações
21-11-2022,27595341
22-11-2022,85667796
23-11-2022,2714212
24-11-2022,133082
25-11-2022,152472
26-11-2022,29625
27-11-2022,17510
28-11-2022,58766
29-11-2022,93896
30-11-2022,116595
01-12-2022,151452
02-12-2022,132959
03-12-2022,42516
04-12-2022,31422
05-12-2022,129705
06-12-2022,162068
07-12-2022,169091
08-12-2022,144500
09-12-2022,74039
10-12-2022,41212
11-12-2022,25021
12-12-2022,184659
13-12-2022,133397
14-12-2022,157221
15-12-2022,178480
16-12-2022,154555
17-12-2022,40481
18-12-2022,22698
19-12-2022,171068
20-12-2022,161756
21-12-2022,152695
22-12-2022,141665
23-12-2022,98552
24-12-2022,23246
25-12-2022,12473
26-12-2022,127975
27-12-2022,151088
28-12-2022,135194
29-12-2022,118568
30-12-2022,72925
31-12-2022,19136
01-01-2023,9186
02-01-2023,102328
03-01-2023,123297
04-01-2023,127701
05-01-2023,124559
06-01-2023,106009
07-01-2023,27153
08-01-2023,15287
09-01-2023,125005
10-01-2023,114235
11-01-2023,110799
12-01-2023,104630
13-01-2023,95659
14-01-2023,23801
15-01-2023,11901
16-01-2023,104631
17-01-2023,106164
18-01-2023,100534
19-01-2023,101104
20-01-2023,88031
21-01-2023,24898
22-01-2023,13878
23-01-2023,108188
24-01-2023,97811
25-01-2023,93028
26-01-2023,94100
27-01-2023,90761
28-01-2023,26439
29-01-2023,13046
30-01-2023,99801
31-01-2023,90732
01-02-2023,91326
02-02-2023,90060
03-02-2023,0
04-02-2023,0
05-02-2023,0
06-02-2023,0
07-02-2023,0
08-02-2023,0
09-02-2023,0
10-02-2023,0
11-02-2023,0
12-02-2023,0
13-02-2023,0
14-02-2023,0
15-02-2023,0
16-02-2023,78068
17-02-2023,81994
18-02-2023,20139
19-02-2023,12355
20-02-2023,21532
21-02-2023,17638
22-02-2023,50242
23-02-2023,119875
24-02-2023,107784
25-02-2023,26261
26-02-2023,32831
27-02-2023,103431
28-02-2023,108812
01-03-2023,108134
02-03-2023,97318
03-03-2023,87592
04-03-2023,37810
05-03-2023,14987
06-03-2023,107967
07-03-2023,108505
08-03-2023,86875
09-03-2023,89829
10-03-2023,97052
11-03-2023,32086
12-03-2023,13798
13-03-2023,111861
14-03-2023,99814
15-03-2023,111664
16-03-2023,104967
17-03-2023,96532
18-03-2023,36343
19-03-2023,32575
20-03-2023,100758
21-03-2023,96355
22-03-2023,113797
23-03-2023,105694
24-03-2023,87050
25-03-2023,26739
26-03-2023,14220
27-03-2023,113907
28-03-2023,109130
29-03-2023,95152
30-03-2023,118281
31-03-2023,80157
01-04-2023,33952
02-04-2023,14707
03-04-2023,94355
04-04-2023,101513
05-04-2023,89919
06-04-2023,55903
07-04-2023,37512
08-04-2023,18868
09-04-2023,10904
10-04-2023,93978
11-04-2023,109881
12-04-2023,91922
13-04-2023,92227
14-04-2023,103650
15-04-2023,27276
16-04-2023,15885
17-04-2023,92667
18-04-2023,92202
19-04-2023,111715
20-04-2023,101348
21-04-2023,24430
22-04-2023,19718
23-04-2023,15042
24-04-2023,97218
25-04-2023,93420
26-04-2023,84427
27-04-2023,80814
28-04-2023,67214
29-04-2023,25792
30-04-2023,14773
01-05-2023,20630
02-05-2023,85729
03-05-2023,90433
04-05-2023,89818
05-05-2023,79588
06-05-2023,32773
07-05-2023,21059
08-05-2023,85605
09-05-2023,89003
10-05-2023,84910
11-05-2023,64731
