data,ANTICORPOS TOTAIS,Enzimaimunoensaio - ELISA IgM,Imunoensaio por Eletroquimioluminescência - ECLIA IgG,RT-LAMP,RT-PCR,TESTE RÁPIDO - ANTICORPO IgG,TESTE RÁPIDO - ANTICORPO IgM,TESTE RÁPIDO - ANTÍGENO,TESTE SOROLÓGICO IgG,TESTE SOROLÓGICO IgM
2023-04-12,454655,47073,61566,83148,39118987,18465955,806350,52674896,1656396,1496642
2023-04-13,454655,47073,61566,83149,39119258,18466039,806434,52676571,1656396,1496642
2023-04-14,454850,47070,61566,83241,39142189,18466021,806938,52772972,1656421,1496665
2023-04-18,455264,47070,61566,83392,39154018,18466326,807914,52890049,1656443,1496686
2023-04-19,455422,47070,61566,83423,39164358,18466485,808332,52929418,1656445,1496694
2023-04-20,455580,47070,61566,83503,39173594,18466654,809047,52998767,1656462,1496713
2023-04-21,455578,47070,61566,83510,39174262,18466728,809148,53007031,1656461,1496713
2023-04-22,455577,47070,61566,83515,39176405,18466756,809285,53019599,1656470,1496721
2023-04-23,455576,47070,61566,83524,39177178,18466814,809352,53029226,1656471,1496721
2023-04-24,455678,47070,61565,83560,39181715,18466948,809900,53082978,1656486,1496731
2023-04-25,455713,47070,61565,83620,39186619,18467023,810315,53132257,1656501,1496739
2023-04-26,455713,47070,61565,83621,39186872,18467023,810315,53134908,1656501,1496739
2023-04-27,455779,47070,61564,83708,39191671,18467300,810727,53181549,1656518,1496756
2023-04-28,455979,47070,61563,83892,39199633,18467454,811514,53262859,1656538,1496769
2023-04-29,455980,47070,61563,83940,39201752,18467494,811677,53274430,1656542,1496769
2023-05-01,455984,47070,61563,83948,39202947,18467640,811913,53282669,1656541,1496769
2023-05-02,455984,47070,61563,83957,39204141,18467693,812194,53292745,1656540,1496768
2023-05-03,456052,47070,61563,84079,39212169,18467902,812786,53372421,1656564,1496795
2023-05-04,456057,47070,61563,84128,39214902,18467975,812915,53397234,1656571,1496801
2023-05-06,456211,47070,61563,84234,39222592,18468178,813314,53473916,1656596,1496819
2023-05-07,456211,47070,61563,84245,39223962,18468309,813586,53487289,1656596,1496820
2023-05-08,456284,47070,61563,84296,39230167,18468398,813783,53541373,1656620,1496827
2023-05-09,456463,47070,61563,84322,39233460,18468518,814046,53572537,1656635,1496840
2023-05-10,456538,47070,61563,84364,39237310,18468590,814246,53607520,1656640,1496843
2023-05-11,456645,47070,61563,84471,39242375,18468669,814503,53654661,1656662,1496865
2023-05-13,456719,47070,61563,84579,39248590,18468900,814983,53704991,1656684,1496882
2023-05-14,456725,47070,61563,84595,39250044,18468913,814990,53714742,1656689,1496884
2023-05-16,456882,47069,61563,84709,39257327,18469175,815343,53785316,1656706,1496897
2023-05-17,457004,47069,61563,84785,39263047,18469535,815674,53836654,1656725,1496907
2023-05-18,457210,47069,61562,84830,39267766,18469804,816066,53876281,1656751,1496928
2023-05-19,457448,47068,61559,84862,39271681,18469939,816298,53910540,1656761,1496933
