Total de Notificações,Data
127691318,2023-04-13
127764417,2023-04-14
127910687,2023-04-18
127966061,2023-04-19
128054649,2023-04-20
128064984,2023-04-21
128081730,2023-04-22
128093790,2023-04-23
128159369,2023-04-24
128220619,2023-04-25
128223946,2023-04-26
128282242,2023-04-27
128383968,2023-04-28
128400848,2023-04-29
128412219,2023-05-01
128424965,2023-05-02
128524133,2023-05-03
128555306,2023-05-04
128650082,2023-05-06
128667628,2023-05-07
128735335,2023-05-08
128775225,2023-05-09
128819560,2023-05-10
128878955,2023-05-11
128944127,2023-05-13
128956968,2023-05-14
129046135,2023-05-16
