Total de Notificações,Data
37297237,2023-04-13
37363786,2023-04-18
37382871,2023-04-19
37404575,2023-04-20
37409961,2023-04-21
37418033,2023-04-22
37423456,2023-04-23
37443327,2023-04-24
37461551,2023-04-25
37496046,2023-04-27
37510059,2023-04-28
37517872,2023-04-29
37523314,2023-05-01
37529895,2023-05-02
37558346,2023-05-03
37568820,2023-05-04
37598674,2023-05-06
37606235,2023-05-07
37627962,2023-05-08
37639859,2023-05-09
37653654,2023-05-10
37672109,2023-05-11
37692354,2023-05-13
37697937,2023-05-14
37723664,2023-05-16
37742421,2023-05-17
37757575,2023-05-18
37769565,2023-05-19
